Sport,Age Group(s),Gender,KPI Name,Category,Measurement Method,Benchmark Example (direction),Why It Matters,Test Owner
Football,7–23 (age-scaled),M/F,20m Sprint Time,Physical,Field Test,Faster times with age; elite 16–18 boys < 3.1s,"Determines acceleration capacity for match situations (sprints to ball, transitions).",Coach
Football,10–23,M/F,Yo-Yo IR1 Distance,Physical,Field Test,Distance increases with age/training,Core indicator of intermittent endurance needed for modern football.,Coach
Football,7–23,M/F,Technical Skill Index,Technical,Coach Rating (1–5),Higher with age & training,"First touch, passing, ball control; combined into one score to track progression.",Coach
Football,13–23,M/F,Decision-Making Score,Tactical,Video/game assessment,"Better choices, fewer forced errors","Evaluates reading of the game, positioning, and option selection.",Coach / Analyst
Football,13–23,M/F,Match Load GPS Metrics,Physical,Device (GPS),"Total distance, high-speed running, sprint count",Links training data with match behaviour; key for high-level pathway.,Performance Staff
Basketball,10–23,M/F,Vertical Jump Height,Physical,Device / Field,>40cm at 16–18 for promising talents,"Explosiveness for rebounding, blocking, and finishing.",Coach
Basketball,10–23,M/F,Agility T-Test Time,Physical,Field Test,Lower times with age,Reflects lateral movement and defensive quickness.,Coach
Basketball,10–23,M/F,Shooting Accuracy %,Technical,Field (set # of shots),% improves with age/level,Core skill; used to separate role profiles (shooter vs. inside player).,Coach
Basketball,13–23,M/F,Turnover/Decision Index,Tactical,Match stats + video,Fewer turnovers / better assist ratio,Quality of decisions under pressure with the ball.,Analyst
Volleyball,10–23,M/F,Spike Reach Height,Physical,Device / Wall measurement,Increases with growth + power; key for attackers,Combines height + jump; key for net play potential.,Coach
Volleyball,10–23,M/F,Serve Accuracy %,Technical,Field test,Higher % = better potential,Serving is a fundamental scoring skill; discriminates at youth levels.,Coach
Volleyball,13–23,M/F,Reaction & Floor Defense Score,Tactical/Tech,Coach assessment,Higher scores with experience,Reading opponent attack and defensive positioning.,Coach
Athletics (Sprints),10–23,M/F,60m / 100m Time,Physical,Track timing,Age-scaled high-performance tables,Key performance KPI for sprint pathway.,Coach
Athletics (Middle Distance),13–23,M/F,800m / 1500m Time,Physical,Track timing,Age-scaled,Core event time; determines pathway future.,Coach
Athletics (Jumps),10–23,M/F,Standing & Running Jump Distance/Height,Physical,Field / Device,Increases with age and skill,Indicates potential for long/high/triple jump events.,Coach
Swimming,7–23,M/F,50m Freestyle Time,Physical,Pool timing,Age-scaled tables,Universal benchmark; used as entry point for many strokes.,Coach
Swimming,10–23,M/F,Stroke Efficiency Index,Technical,Stroke count vs. time,Better swimmers do fewer strokes for same time,"Shows technical quality, not just raw fitness.",Coach
Swimming,13–23,M/F,400m / 800m Time,Physical,Pool timing,Longer-distance indicator,Endurance and pacing ability; key for middle/long events.,Coach
Cycling (Road),13–23,M/F,5-min Power (W/kg),Physical,Power meter,Higher W/kg with age/training,Strong link to climbing and time-trial performance.,Coach / Perf
Cycling (Road),13–23,M/F,20-min Power (FTP W/kg),Physical,Power meter,Age-scaled endurance capacity,Main KPI for sustained efforts; selection for endurance pathway.,Coach / Perf
Cycling (Road),13–23,M/F,Handling & Cornering Score,Technical,Coach field rating,Higher = better technical control,"Safety, peloton skills, and racing effectiveness.",Coach
Tennis,7–23,M/F,Serve Speed & Accuracy,Technical,Radar + target zones,"Faster, more accurate with age/level",Critical for match dominance in modern tennis.,Coach
